id,expected_verdict,expected_domain,claim_text,review_focus,human_note,contested_span
positive-mostly-accurate-11-infact220706-2,ほぼ正確,一般,X JAPANは1988年にアルバム『BLUE BLOOD』でメジャー・デビューした。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,X JAPANは1988年にアルバム『BLUE BLOOD』でメジャー・デビューした。
positive-mostly-accurate-12-infact220708,ほぼ正確,一般,アメリカの国土面積は日本の24倍である。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,アメリカの国土面積は日本の24倍である。
positive-mostly-accurate-13-infact220823,ほぼ正確,一般,大谷翔平と同学年のメージャーリーガーは鈴木誠である。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,大谷翔平と同学年のメージャーリーガーは鈴木誠である。
positive-mostly-accurate-14-bfj230313,ほぼ正確,金融,WBC中継で「オーストラリアにはカンガルーが5000万頭いる」,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,WBC中継で「オーストラリアにはカンガルーが5000万頭いる」
positive-mostly-accurate-15-post-22724,ほぼ正確,一般,通算本塁打数の世界記録は王貞治の858本である。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,通算本塁打数の世界記録は王貞治の858本である。
positive-mostly-accurate-16-post-22836,ほぼ正確,一般,ペンギンはみんな南極に住んでいる。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,ペンギンはみんな南極に住んでいる。
positive-mostly-accurate-17-23435,ほぼ正確,一般,世界最高峰のエベレストの標高は8818mである。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,世界最高峰のエベレストの標高は8818mである。
positive-mostly-accurate-18-kobe-pension-standardly-nontaxable,ほぼ正確,一般,日本国憲法はアメリカが作った憲法である。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,日本国憲法はアメリカが作った憲法である。
positive-mostly-accurate-19-japanese-electric-car-200km-single-charge,ほぼ正確,一般,日本の自動車メーカーは1949年に、1回の充電で400km走行できる電気自動車を開発した。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,日本の自動車メーカーは1949年に、1回の充電で400km走行できる電気自動車を開発した。
positive-mostly-accurate-20-blobfish-natural-environment,ほぼ正確,政治,バイデン政権はマドゥロに2500万ドルの懸賞金をかけた,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,バイデン政権はマドゥロに2500万ドルの懸賞金をかけた
