id,expected_verdict,analysis_text,expected_domain,predicted_verdict,attention_score
positive-mostly-accurate-10-infact220704,ほぼ正確,岸田文雄は首相時代に「今年の春闘の賃上げ率2.08%は、過去20年で2番目に高い」と発言したことがある。,金融,ほぼ正確,32
positive-mostly-accurate-11-infact220706-2,ほぼ正確,X JAPANは1989年5月にアルバム『BLUE BLOOD』でメジャー・デビューした。,一般,ほぼ正確,40
positive-mostly-accurate-12-infact220708,ほぼ正確,アメリカの国土面積は日本の24倍である。,一般,ほぼ正確,40
positive-mostly-accurate-13-infact220823,ほぼ正確,大谷翔平と同学年の日本人メージャーリーガーは鈴木誠である。,一般,正確,20
positive-mostly-accurate-14-bfj230313,ほぼ正確,オーストラリアにはカンガルーが5000万頭いる。,一般,ほぼ正確,31
positive-mostly-accurate-15-post-22724,ほぼ正確,通算本塁打数の世界記録は王貞治が持っており、その本数は869本である。,一般,ほぼ正確,40
positive-mostly-accurate-16-post-22836,ほぼ正確,ペンギンはみんな南極に住んでいる。,一般,ほぼ正確,40
positive-mostly-accurate-17-23435,ほぼ正確,世界最高峰のエベレストの標高は8852mである。,一般,ほぼ正確,40
positive-mostly-accurate-18-kobe-pension-standardly-nontaxable,ほぼ正確,日本国憲法はアメリカが作った憲法である。,一般,正確,20
positive-mostly-accurate-19-japanese-electric-car-200km-single-charge,ほぼ正確,日本の自動車メーカーは1949年に、1回の充電で300km走行できるたま電気自動車を開発した。,一般,不正確,61
positive-mostly-accurate-20-blobfish-natural-environment,ほぼ正確,バイデン政権はマドゥロに2500万ドルの懸賞金をかけた,政治,ほぼ正確,32
jfc-hold-01-yokohama-team-mirai-election-fraud-unfounded,判断保留,高市早苗は5年以上総理大臣を続けるだろう。,政治,判断保留,41
jfc-hold-02-baseless-healthworkers-mynahokensho,判断保留,近い将来、アメリカと中国は戦争をする。,政治,判断保留,51
jfc-hold-03-baseless-trump-said-all-hell-break-loose,判断保留,落合博満のように三冠王を三度獲得するバッターは今後現れないだろう。,一般,判断保留,43
jfc-hold-04-baseless-jal123-fake-voice-recorder,判断保留,リオネル・メッシのようにバロンドールを8回獲得するサッカー選手は今後現れないだろう。,一般,判断保留,41
jfc-hold-05-baseless-solar-panels-not-covered-by-fire-insurance,判断保留,2038年までにサッカー日本代表はワールドカップで優勝する。,一般,判断保留,42
jfc-hold-06-baseless-ohtani-said-illegal-immigrants-should-leave,判断保留,大谷翔平は近い将来サイヤング賞を獲得するだろう。,一般,判断保留,41
jfc-hold-07-baseless-whale-sardine-beach-earthquake,判断保留,大谷翔平はいずれ三冠王を獲得する。,一般,判断保留,42
jfc-hold-08-false-claim-korean-massacre-6000-lie,判断保留,道教の始祖・老子は実在した。,一般,判断保留,42
jfc-hold-09-baseless-uniqlo-china-factory-exit,判断保留,ヤマトタケルは実在した。,一般,判断保留,56
jfc-hold-10-kanagawa-10000-invalid-votes-fraud-claim,判断保留,山本由伸はサイヤング賞を三度獲得するだろう。,一般,判断保留,42
jfc-hold-11-baseless-exposition-pneumonia-class-closure,判断保留,宇宙人はこの宇宙に実在する。,一般,判断保留,44
jfc-hold-12-baseless-trump-said-he-will-save-japanese-citizens,判断保留,アーサー王は実在した王である。,一般,判断保留,56
jfc-hold-13-baseless_nankai_trough_earthquake_aug14,判断保留,南海トラフ地震は2035年までに起こる。,災害,判断保留,60
jfc-hold-14-saga-invalid-votes-fraud-claim-unfounded,判断保留,近い将来、日本は憲法を改正する。,政治,判断保留,41
jfc-hold-15-baseless-fanta-orange-1970-additives,判断保留,近い将来、日本はNATOに加盟する。,政治,判断保留,52
jfc-hold-16-no-evidence-a-sign-made-by-chinese-people,判断保留,邪馬台国は九州にあった。,一般,判断保留,42
jfc-hold-17-baseless-koike-google-personal-data,判断保留,トリノの聖骸布は本当にキリストの遺体を包んだ布である。,一般,判断保留,56
jfc-hold-18-mhlw-staff-vaccination-rate-uncertain,判断保留,井伊直虎は女性であった。,一般,判断保留,41
jfc-hold-19-baseless-xi-jinping-fell-from-chair,判断保留,中国は近い将来、台湾に軍事侵攻する。,政治,判断保留,56
jfc-hold-20-baseless-mynaportal-major-cut-in-administrative-costs-for-benefits,判断保留,詩人ホメロスは実在した。,一般,判断保留,44
jfc-inaccurate-01-politicians-zero-inheritance-tax,不正確,ドラえもんは22世紀の未来の日本から、のび太をいじめるためにやって来たネコ型ロボットである。,一般,不正確,61
jfc-inaccurate-02-did-it-take-only-four-months-for-the-takaichi-administration-to-reach-the-mining-stage,不正確,KKコンビとはPL学園高校野球部で活躍した桑田真澄と清原和博のことである。高校卒業後、桑田は西武ライオンズへ、清原は読売ジャイアンツへ入団し、ドラフト直後の会見では二人とも喜びを見せた。,一般,不正確,61
jfc-inaccurate-03-japan-is-not-expanding-the-pakistani-intake-to-50thousands,不正確,スタジオジブリ制作のアニメ映画「となりのトトロ」と「火垂るの墓」は1988年4月に同時上映された。「となりのトトロ」は高畑勲、「火垂るの墓」は宮崎駿の監督作品である。,一般,不正確,61
jfc-inaccurate-04-inaccurate-kyoto-hotel-prices-collapse,不正確,日本軍は1941年12月に真珠湾を奇襲し、太平洋戦争が開戦した。真珠湾への奇襲は成功を収め、日本軍はその後の太平洋戦争を有利に進めた。,一般,不正確,61
jfc-inaccurate-05-inaccurate-gates-abondons-climate-action,不正確,2023年のWBCは大谷翔平の活躍もあり、野球日本代表は優勝したが、2023年のWBCで大谷翔平はピッチャーとして一度も投げなかった。,一般,不正確,61
jfc-inaccurate-06-inaccurate-trump-administration-admits-covid-shots-are-crime-against-humanity,不正確,ON砲とは読売ジャイアンツの王貞治と長嶋茂雄のコンビのことであるが、二人は非常に仲が悪かった。,一般,不正確,61
jfc-inaccurate-07-inaccurate-favoratism-toward-chinese-students,不正確,2025年10月1日豊明市スマートフォン等の適正使用の推進に関する条例が施行された。違反すると罰金などの罰則がある。,一般,不正確,61
jfc-inaccurate-08-inaccurate-foreigners-obtain-the-national-certification-for-care-workers,不正確,2023年4月1日より全自転車利用者のヘルメット着用が義務付けられた。違反すると罰金などの罰則がある。,一般,不正確,61
jfc-inaccurate-09-inaccurate-claim-ministry-of-economy-trade-and-industry-did-not-state-they-did-not-measure-9-nuclides-other-than-tritium,不正確,サッカー選手ドラガン・ストイコビッチはピクシーの愛称を持つ。その理由は、彼がゲーム「ポケモン」に出て来るピクシーが好きだから。,一般,不正確,61
jfc-inaccurate-10-inaccurate-kurdish-group-tv-report,不正確,大谷翔平は、2018年から2025年までの間にMLBでMVPを4回獲得した。彼はアメリカ国籍も取得した。,一般,不正確,61
jfc-inaccurate-11-inaccurate-volunteer-recruitment-n-noto-peninsula-earthquake,不正確,9.11テロを起こしたウサマ・ビンラディンをイラクのサダム・フセインが匿ったため、2003年アメリカはイラクを攻撃し、イラク戦争が始まった。,政治,不正確,61
jfc-inaccurate-12-matsumoto-chief-cabinet-secretary-great-kanto-earthquake-korean-massacre-records-inaccurate,不正確,エベレストは世界最高峰の山で、最初に登頂したのはエドモンド・ヒラリーと植村直己である。,一般,ほぼ正確,40
jfc-inaccurate-13-ohio-train-derailment-disaster-hidden-reporter-arrested-false,不正確,徳川家康は江戸幕府を開いた人物であり、関ヶ原の戦いの後に征夷大将軍となり、その後すぐ天皇を連れ江戸に遷都した。,一般,不正確,61
jfc-inaccurate-14-inaccurate-video-of-transgender-martial-artist-breaking-opponents-skull,不正確,長嶋茂雄には子供が1人だけおり、その子供の名前は長嶋一茂である。,一般,不正確,61
jfc-inaccurate-15-inaccurate-claims-about-drone-delivery,不正確,新選組の土方歳三・斎藤一は戊辰戦争を戦い抜いたが、最後は函館で二人とも戦死した。,一般,不正確,61
jfc-inaccurate-16-inaccuracies-in-keio-baseball-cheering,不正確,アインシュタインは相対性理論を提唱したことで知られるが、ノーベル賞は原子爆弾の開発功績によって受賞した。,一般,誤り,81
jfc-inaccurate-17-japan-iran-visa-indefinite-extension,不正確,ナポレオンはフランス皇帝として有名だが、最後は南米のブラジルへ亡命して生涯を終えた。,一般,不正確,61
jfc-inaccurate-18-ion-stores-atm-credit-card-inaccessibility-inaccurate,不正確,世界最高のテノールの一人とされるルチアーノ・パヴァロッティは、イタリア生まれだが、スペイン人である。,一般,不正確,61
jfc-inaccurate-19-factcheck-us-department-of-state-officially-declared-islam-a-threat,不正確,マルコ・ルビオ米国務長官はイスラム教全体を脅威と宣言した。,政治,誤り,81
jfc-inaccurate-20-inaccurate-9000yen-to-a-muslims-school-lunch,不正確,東京都が外国人児童を受け入れる施設に対して、園児1人につき毎月9000円を給食のために支給している。,政治,不正確,61
jfc-false-01-trump-im-the-last-to-use-nukes,誤り,トランプ氏が、現在の中東情勢を受けて「私は核兵器を使う最後の人間になるだろう」と発言した。,政治,不正確,61
jfc-false-02-did-noda-yoshihiko-said-spy-prevention-law-would-violate-spies-human-rights,誤り,地球は宇宙の中心にあり、地球の回りを太陽やその他の星々が回っている。,一般,誤り,81
jfc-false-03-chemtrail-government-airborne-dispersion-harmful-substances-false,誤り,飛行機雲は、政府などが危険な化学物質を散布している「ケムトレイル」である。,一般,不正確,61
jfc-false-04-japans-inflation-rate-is-not-the-highest,誤り,5Gが新型コロナを引き起こす。,医療,不正確,61
jfc-false-05-japan-does-not-have-any-anti-islamic-legislation,誤り,日本はモスク建設やブルカの着用などを禁じる反イスラム法を制定した。,一般,誤り,81
jfc-false-06-pfizer-didnt-admit-covid-jab-causes-cancer,誤り,新型コロナワクチンを接種すると大腸がんになる。,医療,誤り,81
jfc-false-07-false-aomori-earthquake-artificial,誤り,2025年12月8日に青森県東方沖で起きた地震は人工地震である。,災害,誤り,81
jfc-false-08-kawaguchi-arrest-foreign-national-ratio,誤り,バラク・オバマはアメリカ生まれではない。,一般,誤り,81
jfc-false-09-false-dog-elevator-ai-video,誤り,MMRワクチンで自閉症になる。,医療,誤り,81
jfc-false-10-false-lee-jaemyung-setagaya-comment,誤り,世田谷区で韓国籍女性が殺害された事件について、韓国の李在明大統領が「日本は謝罪と賠償をするべきだ」と発言した。,政治,誤り,81
jfc-false-11-false-hometown-africa-nagai-visa,誤り,1969年のアポロ月面着陸は捏造である。,一般,誤り,81
jfc-false-12-false-celebrity-death-hoaxes-youtube,誤り,ミスタージャイアンツとはイチローのことである。,一般,誤り,81
jfc-false-13-false-koizumi-radiated-soil-video,誤り,工藤新一と江戸川コナンは同一人物でない。,政治,誤り,81
jfc-false-14-false-asahi-ceremony-flags,誤り,朝日新聞の入社式では、社旗の脇に韓国と中国の国旗を並べ、ハングル文字を掲げていた。,一般,誤り,81
jfc-false-15-false-100k-demo-osaka-yoon,誤り,日本の最北端は知床岬である。,政治,誤り,81
jfc-false-16-false-minimum-access-rice-harmful,誤り,関東大震災で朝鮮人が井戸に毒を入れた。,一般,誤り,81
jfc-false-17-false-hokkaido-ainu-not-jomon,誤り,バロンドールの最多受賞者は中田英寿である。,一般,誤り,81
jfc-false-18-false-planet-alignment-over-pyramid-every-2373,誤り,ギザ（エジプト）のピラミッドの上空に水星、金星、土星が見える。これは2373年に1度起こる現象である。,一般,誤り,81
jfc-false-19-former-ukrainian-commander-zarzhinyi-53-million-dollar-retirement-bbc,誤り,西郷隆盛は西南戦争で勝利した。,一般,誤り,81
jfc-false-20-false-epstein-emperor-ai-photo,誤り,天皇陛下や上皇陛下がジェフリー・エプスタイン氏と一緒に写っている写真は本物だ。,一般,誤り,81
