id,title,site_name,source_url,purpose,analysis_text,expected_verdict,expected_domain,reference_urls,snapshot_has_author,snapshot_has_published_at,snapshot_reference_link_count,snapshot_extraction_score
positive-accurate-13-litmus230706,〖参議院選25FactCheck〗玉木代表「住民税非課税世帯の４分の３は高齢者」発言を検証,InFact,https://infact.press/2025/07/post-25455/,InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,玉木代表「住民税非課税世帯の４分の３は高齢者」,正確,政治,https://infact.press/2025/07/post-25455/,True,True,1,80
positive-accurate-14-post-23899,河野太郎元ワクチン接種推進大臣「『アメリカでは２億回ワクチンを接種して亡くなった人はいない』とCDCが発表」は本当か？,InFact,https://infact.press/2024/12/post-23899/,InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,河野太郎「『アメリカでは２億回ワクチンを接種して亡くなった人はいない』とCDCが発表」,正確,医療,https://infact.press/2024/12/post-23899/,True,True,1,82
positive-accurate-15-japan-experimental-forestry,日本の円形林は実在する実験林,Snopes,https://www.snopes.com/fact-check/japan-experimental-forestry/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,日本には円形の実験林が存在する,正確,一般,https://www.snopes.com/fact-check/japan-experimental-forestry/,True,True,1,82
positive-accurate-16-japanese-robotic-monster-wolves,日本の町でクマよけにロボットのオオカミが使われた,Snopes,https://www.snopes.com/fact-check/japanese-robotic-monster-wolves/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,日本のある町では、住民からクマとの遭遇や目撃情報が増加しているとの報告を受け、オオカミに偽装したロボット2体を使ってクマを地域から追い払った。,正確,一般,https://www.snopes.com/fact-check/japanese-robotic-monster-wolves/,True,True,1,82
positive-accurate-17-toyota-city-japan-name,トヨタ市は自動車会社トヨタにちなんで改称された,Snopes,https://www.snopes.com/fact-check/toyota-city-japan-name/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,日本の豊田市は、自動車メーカーであるトヨタ自動車にちなんで名付けられた。,正確,一般,https://www.snopes.com/fact-check/toyota-city-japan-name/,True,True,1,82
positive-accurate-18-square-watermelon,四角いスイカは本物,Snopes,https://www.snopes.com/fact-check/square-watermelon/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,日本で作られている四角いスイカは実在し、観賞用や贈答用として栽培されている。,正確,一般,https://www.snopes.com/fact-check/square-watermelon/,True,True,1,82
positive-accurate-19-ronald-mcdonald-name-japan,日本ではロナルド・マクドナルドをドナルド・マクドナルドと呼ぶ,Snopes,https://www.snopes.com/fact-check/ronald-mcdonald-name-japan/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,日本国内のマクドナルドのフランチャイズ店では、ロナルド・マクドナルドはドナルド・マクドナルドという名前で呼ばれている,正確,一般,https://www.snopes.com/fact-check/ronald-mcdonald-name-japan/,True,True,1,82
positive-accurate-20-photos-japan-orca,北海道沖で撮影された白いシャチの写真は本物,Snopes,https://www.snopes.com/fact-check/photos-japan-orca/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,北海道沖で白いシャチの写真が撮影された,正確,一般,https://www.snopes.com/fact-check/photos-japan-orca/,True,True,1,82
positive-mostly-accurate-01-ainu-dance-filmed-1919,（動画）アイヌの踊りが1919年に撮影された？,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/history/ainu-dance-filmed-1919/,日本ファクトチェックセンターの公開ファクトチェック記事を基にした実在ネット記事ケース,アイヌの踊りが1919年に撮影された,ほぼ正確,一般,https://www.factcheckcenter.jp/fact-check/history/ainu-dance-filmed-1919/,True,True,1,82
positive-mostly-accurate-02-real-image-of-jovial-swedish-people-despite-train-station-flooding-caused-by-typhoon,五輪で BLM の服装だけが特別に禁止されたわけではない,Snopes,https://www.snopes.com/fact-check/blm-olympics-apparel-banned/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,国際オリンピック委員会（IOC）は、2020年の東京オリンピック競技大会において、「ブラック・ライブズ・マター」の文字が入った衣服の着用を禁止した。,ほぼ正確,一般,https://www.snopes.com/fact-check/blm-olympics-apparel-banned/,True,True,1,82
positive-mostly-accurate-03-almost-accurate-claim-iaea-not-verifying-filtration-performance-of-contaminated-water,IAEA、汚染水のろ過性能を検証していない？,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/nuclear/almost-accurate-claim-iaea-not-verifying-filtration-performance-of-contaminated-water/,日本ファクトチェックセンターの公開ファクトチェック記事を基にした実在ネット記事ケース,国際原子力機関（IAEA）、汚染水をろ過する多核種除去設備（ALPS）の性能検証を一度もしていなかった,ほぼ正確,一般,https://www.factcheckcenter.jp/fact-check/nuclear/almost-accurate-claim-iaea-not-verifying-filtration-performance-of-contaminated-water/,True,True,1,82
positive-mostly-accurate-04-infact200912,大村知事リコール運動 ｢署名者の個人情報が公開される｣は本当か？【InFact】 （2020.9.12）,InFact,https://infact.press/2020/09/post-8286/,FactCheck Navi が集約した InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,愛知県の大村秀章知事のリコールに賛同した署名者の個人情報は公開される,ほぼ正確,一般,https://infact.press/2020/09/post-8286/ | https://navi.fij.info/factcheck_navi/infact200912/,True,True,2,80
positive-mostly-accurate-05-infact211023-3,新型コロナの1日当たり死者数で東京はニューヨーク市を上回っていた,Snopes,https://www.snopes.com/fact-check/covid-nyc-tokyo/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,ニューヨーク市の新型コロナウイルスによる死亡率は、東京の250倍高い,ほぼ正確,医療,https://www.snopes.com/fact-check/covid-nyc-tokyo/,True,True,1,82
positive-mostly-accurate-06-jid211024-1,スウェーデンはごみを輸入して発電や暖房に使っている,Snopes,https://www.snopes.com/fact-check/sweden-import-trash/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,スウェーデンは、電力と暖房を生産する廃棄物発電所の燃料となる廃棄物が不足しているため、他国から廃棄物を輸入している。,ほぼ正確,一般,https://www.snopes.com/fact-check/sweden-import-trash/,True,True,1,82
positive-mostly-accurate-07-jid211029-01,マサチューセッツ州の富裕税は15億ドル超の税収を生んだ,Snopes,https://www.snopes.com/fact-check/tax-massachusetts-millionaires/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,マサチューセッツ州の有権者は、100万ドルを超える所得に対する4％の追加税を承認し、これにより15億ドルの歳入が得られた。,ほぼ正確,金融,https://www.snopes.com/fact-check/tax-massachusetts-millionaires/,True,True,1,82
positive-mostly-accurate-08-asahi211116-2,ギザのピラミッド建設労働者にはビールが配給されていた,Snopes,https://www.snopes.com/fact-check/beer-egypt-pyramids-rations/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,ギザのピラミッドを建設した古代エジプトの労働者たちは、毎日4～5リットルのビールを配給されていた。,ほぼ正確,一般,https://www.snopes.com/fact-check/beer-egypt-pyramids-rations/,True,True,1,82
positive-mostly-accurate-09-infact211217-1,コロナワクチン接種後の心筋炎が昨年の『260倍以上』を検証,InFact,https://infact.press/2021/12/post-14886/,FactCheck Navi が集約した InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,2021年に米国に報告されたワクチン接種後の心筋炎の報告数が、前年の260倍以上になっている,ほぼ正確,医療,https://infact.press/2021/12/post-14886/ | https://navi.fij.info/factcheck_navi/infact211217-1/,True,True,2,80
positive-mostly-accurate-10-infact220704,岸田首相の発言「今年の春闘の賃上げ率2.08%は、過去20年で2番目に高い」は、ほぼ正確【InFact】 （2022.7.4）,InFact,https://infact.press/2022/07/post-20275/,FactCheck Navi が集約した InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,岸田首相の発言「今年の春闘の賃上げ率2.08%は、過去20年で2番目に高い」,ほぼ正確,金融,https://infact.press/2022/07/post-20275/ | https://navi.fij.info/factcheck_navi/infact220704/,True,True,2,80
positive-mostly-accurate-11-infact220706-2,山本太郎代表「安倍さんが総理大臣時代に、消費税増税分の二割程度は社会保障に使ったけど、八割を借金返しに使ったと言った」は「ほぼ正確」【InFact】 （2022.7.6）,InFact,https://infact.press/2022/07/post-20376/,FactCheck Navi が集約した InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,山本太郎代表「安倍さんが総理大臣時代に、消費税増税分の二割程度は社会保障に使ったけど、八割を借金返しに使ったと言った」,ほぼ正確,金融,https://infact.press/2022/07/post-20376/ | https://navi.fij.info/factcheck_navi/infact220706-2/,True,True,2,80
positive-mostly-accurate-12-infact220708,公明党議員「公示前のタスキは、禁じられています」というツイートは「ほぼ正確」【InFact】 （2022.7.8）,InFact,https://infact.press/2022/07/post-20398/,FactCheck Navi が集約した InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,公明党議員「公示前のタスキは、禁じられています」,ほぼ正確,一般,https://infact.press/2022/07/post-20398/ | https://navi.fij.info/factcheck_navi/infact220708/,True,True,2,80
positive-mostly-accurate-13-infact220823,志位和夫委員長「大学の入学金制度は『世界で日本にしかない』」は「ほぼ正確」【InFact】 （2022.8.23）,InFact,https://infact.press/2022/08/post-20690/,FactCheck Navi が集約した InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,志位和夫委員長「大学の入学金制度は『世界で日本にしかない』」,ほぼ正確,一般,https://infact.press/2022/08/post-20690/ | https://navi.fij.info/factcheck_navi/infact220823/,True,True,2,80
positive-mostly-accurate-14-bfj230313,WBC中継で「オーストラリアにはカンガルーが5000万頭いる」→ほぼ正確。人口比では､､､【BuzzFeed Japan】 （2023.3.13）,BuzzFeed Japan,https://www.buzzfeed.com/jp/keitaaimoto/kangaroo-fc,FactCheck Navi が集約した BuzzFeed Japan の公開ファクトチェック記事を基にした実在ネット記事ケース,WBC中継で「オーストラリアにはカンガルーが5000万頭いる」,ほぼ正確,金融,https://www.buzzfeed.com/jp/keitaaimoto/kangaroo-fc | https://navi.fij.info/factcheck_navi/bfj230313/,True,True,2,80
positive-mostly-accurate-15-post-22724,ファウチ博士は、「社会的距離のルールは科学的根拠ゼロ」と発言したのか？,InFact,https://infact.press/2024/01/post-22724/,InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,1月9日、ファウチ博士は米下院特別小委員会で、６フィートの社会的距離のルールは完全にでっち上げであり、科学的根拠はゼロであったことを認めた。,ほぼ正確,一般,https://infact.press/2024/01/post-22724/,True,True,1,82
positive-mostly-accurate-16-post-22836,WHO事務局長「強制していない」は「ほぼ正確」,InFact,https://infact.press/2024/03/post-22836/,InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,WHO(世界保健機関)のテドロス事務局長「WHOは新型コロナウイルスパンデミックの際、誰にも何も強制していない。」,ほぼ正確,医療,https://infact.press/2024/03/post-22836/,True,True,1,82
positive-mostly-accurate-17-23435,スイスの安楽死についてファクトチェック,InFact,https://infact.press/2024/06/23435/,InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,200万と語学力が無いとスイスで安楽死出来ません,ほぼ正確,医療,https://infact.press/2024/06/23435/,True,True,1,82
positive-mostly-accurate-18-kobe-pension-standardly-nontaxable,年金受給者は標準的に非課税,神戸新聞NEXT,https://www.kobe-np.co.jp/news/society/202507/0019232569.shtml,神戸新聞の選挙ファクト検証記事を基にした実在ネット記事ケース,住民税非課税世帯への給付が繰り返されるが、年金受給者は控除により非課税になりやすく標準的には非課税です。「年金控除＋非課税世帯への給付」の組合せにより、結果として高齢者優遇となり、現役世代との間に著しい不公平が生じています。裁量的なバラマキは止め、一律の支援制度へと改めるべきです,ほぼ正確,金融,https://www.kobe-np.co.jp/news/society/202507/0019232569.shtml,True,True,1,78
positive-mostly-accurate-19-japanese-electric-car-200km-single-charge,1949年の日本製電気自動車は1回の充電で約200キロ走れた,Snopes,https://www.snopes.com/fact-check/japanese-electric-car-200km-single-charge/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,日本の自動車メーカーは1949年に、1回の充電で200km走行できる電気自動車を開発した。,ほぼ正確,一般,https://www.snopes.com/fact-check/japanese-electric-car-200km-single-charge/,True,True,1,82
positive-mostly-accurate-20-blobfish-natural-environment,バイデン政権はマドゥロに2500万ドルの懸賞金をかけたのか,Snopes,https://www.snopes.com/fact-check/biden-bounty-maduro/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,バイデン政権はマドゥロに2500万ドルの懸賞金をかけた,ほぼ正確,政治,https://www.snopes.com/fact-check/biden-bounty-maduro/,True,True,1,82
jfc-hold-01-yokohama-team-mirai-election-fraud-unfounded,チームみらいの票が極めて不自然? 事前の報道でも予測されていた,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/politics/yokohama-team-mirai-election-fraud-unfounded/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,「横浜市某区の開票立会い人をやってきた チームみらいの票が極めて不自然」「開票立会い人も来てない参政党みたいな活動も何もしてない党が参政党の1.5倍の比例票を取った」「票を目視確認したが、折り目のない票が8割ほど」,判断保留,一般,https://www.factcheckcenter.jp/fact-check/politics/yokohama-team-mirai-election-fraud-unfounded/,True,True,1,82
jfc-hold-02-baseless-healthworkers-mynahokensho,医療従事者はマイナ保険証にしない人が大多数? 根拠となるデータなし,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/health/baseless-healthworkers-mynahokensho/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,実は医療従事者はマイナ保険証にしない人が大多数だという事実、一般の人はあまりご存知ないでしょうね。私も資格確認証を利用していて、マイナ保険証にする予定はありません,判断保留,医療,https://www.factcheckcenter.jp/fact-check/health/baseless-healthworkers-mynahokensho/,True,True,1,82
jfc-hold-03-baseless-trump-said-all-hell-break-loose,米トランプ大統領が「9月1日に全てが大混乱に」と発言? そのような情報はない,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/international/baseless-trump-said-all-hell-break-loose/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,米トランプ大統領が9月1日に「全てが大混乱に陥る」と発言,判断保留,一般,https://www.factcheckcenter.jp/fact-check/international/baseless-trump-said-all-hell-break-loose/,True,True,1,82
jfc-hold-04-baseless-jal123-fake-voice-recorder,日航123便墜落事故で機長が「被弾したぞ」と発言? 記録も音声も根拠もなし,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/affairs/baseless-jal123-fake-voice-recorder/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,日航123便墜落事故で機長が「被弾したぞ」と発言。ボイスレコーダーに記録あり。,判断保留,一般,https://www.factcheckcenter.jp/fact-check/affairs/baseless-jal123-fake-voice-recorder/,True,True,1,82
jfc-hold-05-baseless-solar-panels-not-covered-by-fire-insurance,日本の科学者は MRI で夢を記録した？,Snopes,https://www.snopes.com/fact-check/mri-record-dreams-japanese-scientists/,Snopes の公開ファクトチェック記事を基にした実在ネット記事ケース,日本の科学者たちは、夢を記録し、後で見ることができるように再構成できるMRI装置の開発に成功した。,判断保留,一般,https://www.snopes.com/fact-check/mri-record-dreams-japanese-scientists/,True,True,1,82
jfc-hold-06-baseless-ohtani-said-illegal-immigrants-should-leave,大谷翔平選手が「不法移民は出ていくべき」と発言? パロディアカウントによる投稿,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/culture/baseless-ohtani-said-illegal-immigrants-should-leave/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,大谷翔平選手が「不法移民は出ていくべきだ」と発言した,判断保留,一般,https://www.factcheckcenter.jp/fact-check/culture/baseless-ohtani-said-illegal-immigrants-should-leave/,True,True,1,82
jfc-hold-07-baseless-whale-sardine-beach-earthquake,イワシやクジラの漂着は地震の影響？関連づける根拠やデータはない,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/disasters/baseless-whale-sardine-beach-earthquake/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,イワシやクジラ、イルカの漂着は地震の前兆もしくは影響,判断保留,災害,https://www.factcheckcenter.jp/fact-check/disasters/baseless-whale-sardine-beach-earthquake/,True,True,1,82
jfc-hold-08-false-claim-korean-massacre-6000-lie,関東大震災、朝鮮人6000人虐殺は『100%嘘』？ NHK朝ドラ「虎に翼」をきっかけに拡散,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/history/false-claim-korean-massacre-6000-lie/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,関東大震災で朝鮮人6000人虐殺は『100%嘘』,判断保留,一般,https://www.factcheckcenter.jp/fact-check/history/false-claim-korean-massacre-6000-lie/,True,True,1,82
jfc-hold-09-baseless-uniqlo-china-factory-exit,ポケモンの特定回がてんかんを引き起こした？,Snopes,https://www.snopes.com/fact-check/pokemon-episode-causes-epilepsy/,Snopes の公開ファクトチェック記事を基にした実在ネット記事ケース,人気子ども向けテレビ番組「ポケモン」 のあるエピソードが、日本で600人以上の幼児にてんかん発作を引き起こした。,判断保留,一般,https://www.snopes.com/fact-check/pokemon-episode-causes-epilepsy/,True,True,1,82
jfc-hold-10-kanagawa-10000-invalid-votes-fraud-claim,衆議院選・神奈川15区の無効票1万1025票は異常? 前回より微増、選管「トラブルなし」,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/politics/kanagawa-10000-invalid-votes-fraud-claim/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,"神奈川15区、無効票11025票！？
何これ、異常でしょ",判断保留,一般,https://www.factcheckcenter.jp/fact-check/politics/kanagawa-10000-invalid-votes-fraud-claim/,True,True,1,82
jfc-hold-11-baseless-exposition-pneumonia-class-closure,地球に一時的な『第二の月』ができる？,Snopes,https://www.snopes.com/fact-check/earth-temporary-second-moon/,Snopes の公開ファクトチェック記事を基にした実在ネット記事ケース,2025年末時点で、NASAは地球の軌道上に一時的に存在する第二の月の存在を確認しており、その月は2083年まで地球の周回軌道上に留まると予測されている。,判断保留,一般,https://www.snopes.com/fact-check/earth-temporary-second-moon/,True,True,1,82
jfc-hold-12-baseless-trump-said-he-will-save-japanese-citizens,米トランプ大統領「日本政府は助けるつもりはないが日本国民は助けるつもり」と発言? 発言の記録なし,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/international/baseless-trump-said-he-will-save-japanese-citizens/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,米トランプ大統領が「私は日本政府は助けるつもりはないが、日本国民は助けるつもりだ」と発言,判断保留,一般,https://www.factcheckcenter.jp/fact-check/international/baseless-trump-said-he-will-save-japanese-citizens/,True,True,1,82
jfc-hold-13-baseless_nankai_trough_earthquake_aug14,2024年8月14日に南海トラフ地震が発生？ 6年前の根拠不明の投稿が拡散,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/disasters/baseless_nankai_trough_earthquake_aug14/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,2024年8月14日に南海トラフはおこります,判断保留,災害,https://www.factcheckcenter.jp/fact-check/disasters/baseless_nankai_trough_earthquake_aug14/,True,True,1,82
jfc-hold-14-saga-invalid-votes-fraud-claim-unfounded,衆院選・佐賀1区で無効5000票、不正選挙の疑惑? 無効票は毎回数千票、選管「トラブルなし」,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/politics/saga-invalid-votes-fraud-claim-unfounded/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,"「もう止まらない、不正選挙疑惑」
10選を果たしていた、 ゆうこく連合・原口一博代表が1000票差で落選した佐賀1区では 「無効票」が5000票以上もあった。 
選挙結果を左右する票数である。
全国各地の小選挙区でも、こうした大量の無効票が発生しているようだ
無効票は本当に「無効票」なのか?",判断保留,一般,https://www.factcheckcenter.jp/fact-check/politics/saga-invalid-votes-fraud-claim-unfounded/,True,True,1,82
jfc-hold-15-baseless-fanta-orange-1970-additives,1970年代のファンタオレンジ、添加物はたった3つ？ 表示義務の変更,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/health/baseless-fanta-orange-1970-additives/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,"1970年代のファンタオレンジ
使われている添加物はたった3つ",判断保留,医療,https://www.factcheckcenter.jp/fact-check/health/baseless-fanta-orange-1970-additives/,True,True,1,82
jfc-hold-16-no-evidence-a-sign-made-by-chinese-people,中国人が「コノ先日本國憲法通用セズ」という看板を勝手に作っている? フィクションが元ネタのいたずら看板,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/international/no-evidence-a-sign-made-by-chinese-people/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,"中国人が勝手にこんな物を作っている
「コノ先日本国憲法通用セズ」",判断保留,一般,https://www.factcheckcenter.jp/fact-check/international/no-evidence-a-sign-made-by-chinese-people/,True,True,1,82
jfc-hold-17-baseless-koike-google-personal-data,Google Earth の画像に日本上空の巨大なスパイダーマンが写った？,Snopes,https://www.snopes.com/fact-check/spiderman-google-earth-japan/,Snopes の公開ファクトチェック記事を基にした実在ネット記事ケース,TikTokerが日本でスパイダーマンを発見した,判断保留,一般,https://www.snopes.com/fact-check/spiderman-google-earth-japan/,True,True,1,82
jfc-hold-18-mhlw-staff-vaccination-rate-uncertain,厚生労働省の職員のワクチン接種率が10％？,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/health/mhlw-staff-vaccination-rate-uncertain/,JFC の公開ファクトチェック記事を基にした実在ネット記事ケース,昨日行われた「新型コロナワクチン接種と死亡事例の因果関係を考える会」で厚生労働省の職員のワクチン接種率が10%と判明。,判断保留,医療,https://www.factcheckcenter.jp/fact-check/health/mhlw-staff-vaccination-rate-uncertain/,True,True,1,82
